Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%
Khris Middleton,22.1,10.7,3.7,3.4,1.3,0.2,0.413,0.277
Jalen Duren,26.1,11.8,10.3,2.7,0.7,1.1,0.692,
Donte DiVincenzo,25.9,11.7,3.7,3.6,1.2,0.3,0.422,0.397
Brandin Podziemski,26.8,11.7,5.1,3.4,1.1,0.2,0.445,0.372
Corey Kispert,26.3,11.6,3.0,1.7,0.4,0.2,0.451,0.364
Jeremy Sochan,25.3,11.4,6.5,2.4,0.8,0.5,0.535,0.308
Toumani Camara,32.7,11.3,5.8,2.2,1.5,0.6,0.458,0.375
Isaiah Hartenstein,27.9,11.2,10.7,3.8,0.8,1.1,0.581,0.0
Buddy Hield,22.7,11.1,3.2,1.6,0.8,0.3,0.417,0.37
Jrue Holiday,30.6,11.1,4.3,3.9,1.1,0.4,0.443,0.353
Walker Kessler,30.0,11.1,12.2,1.7,0.6,2.4,0.663,0.176
Gary Trent Jr.,25.6,11.1,2.3,1.2,1.0,0.1,0.431,0.416
Spencer Dinwiddie,27.0,11.0,2.6,4.4,0.9,0.2,0.416,0.334
Tim Hardaway Jr.,28.0,11.0,2.4,1.6,0.5,0.1,0.406,0.368
Duncan Robinson,24.1,11.0,2.3,2.4,0.5,0.1,0.437,0.393
Guerschon Yabusele,27.1,11.0,5.6,2.1,0.8,0.3,0.501,0.38
Brice Sensabaugh,20.2,10.9,3.0,1.5,0.6,0.1,0.459,0.422
Bogdan BogdanoviÄ,25.0,10.8,2.9,2.7,0.8,0.2,0.427,0.363
Bogdan BogdanoviÄ,24.9,10.0,2.8,2.0,0.8,0.3,0.371,0.301
Bogdan BogdanoviÄ,25.0,11.4,3.1,3.2,0.7,0.2,0.474,0.427
Jordan Hawkins,23.6,10.8,2.8,1.2,0.5,0.4,0.372,0.331
Brandon Boston Jr.,23.6,10.7,3.2,2.2,1.3,0.2,0.436,0.35
Nikola JoviÄ,25.1,10.7,3.9,2.8,0.8,0.3,0.456,0.371
Grayson Allen,24.1,10.6,3.0,2.1,0.8,0.3,0.448,0.426
Keon Johnson,24.4,10.6,3.8,2.2,1.0,0.4,0.389,0.314
Terry Rozier,25.9,10.6,3.7,2.6,0.6,0.2,0.391,0.295
Obi Toppin,19.6,10.5,4.0,1.6,0.6,0.4,0.529,0.365
Jonas ValanÄiÅ«nas,18.8,10.4,7.7,2.0,0.5,0.6,0.55,0.216
Jonas ValanÄiÅ«nas,20.1,11.5,8.2,2.2,0.4,0.6,0.547,0.259
Jonas ValanÄiÅ«nas,16.9,8.7,7.0,1.8,0.5,0.6,0.556,0.1
Ochai Agbaji,27.2,10.4,3.8,1.5,0.9,0.5,0.498,0.399
Jaylen Wells,25.9,10.4,3.4,1.7,0.6,0.1,0.425,0.352
Grant Williams,29.9,10.4,5.1,2.3,1.1,0.8,0.439,0.365
Kevin Porter Jr.,19.8,10.3,3.7,3.4,1.1,0.2,0.449,0.311
Kevin Porter Jr.,19.6,9.3,3.6,3.2,1.0,0.2,0.423,0.245
Kevin Porter Jr.,19.9,11.7,3.9,3.7,1.3,0.1,0.494,0.408
Jose Alvarado,24.4,10.3,2.4,4.6,1.3,0.3,0.392,0.359
Nic Claxton,26.9,10.3,7.4,2.2,0.9,1.4,0.563,0.238
Herbert Jones,32.4,10.3,3.9,3.3,1.9,0.5,0.436,0.306
De'Anthony Melton,20.2,10.3,3.3,2.8,1.2,0.3,0.407,0.371
Isaiah Joe,21.7,10.2,2.6,1.6,0.6,0.1,0.44,0.412
